Year,Formatted Date,Day of Week,Bank Holiday
2010,01 January 2010,Friday,New Year's Day
2010,02 April 2010,Friday,Good Friday
2010,05 April 2010,Monday,Easter Monday
2010,03 May 2010,Monday,Early May Bank Holiday
2010,31 May 2010,Monday,Spring Bank Holiday
2010,30 August 2010,Monday,Summer Bank Holiday
2010,27 December 2010,Monday,Christmas Day
2010,28 December 2010,Tuesday,Boxing Day
2011,03 January 2011,Monday,New Year's Day
2011,22 April 2011,Friday,Good Friday
2011,25 April 2011,Monday,Easter Monday
2011,29 April 2011,Friday,Royal Wedding (William & Kate)
2011,02 May 2011,Monday,Early May Bank Holiday
2011,30 May 2011,Monday,Spring Bank Holiday
2011,29 August 2011,Monday,Summer Bank Holiday
2011,27 December 2011,Tuesday,Christmas Day
2011,28 December 2011,Wednesday,Boxing Day
2012,02 January 2012,Monday,New Year's Day
2012,06 April 2012,Friday,Good Friday
2012,09 April 2012,Monday,Easter Monday
2012,07 May 2012,Monday,Early May Bank Holiday
2012,04 June 2012,Monday,Spring Bank Holiday
2012,05 June 2012,Tuesday,Diamond Jubilee
2012,27 August 2012,Monday,Summer Bank Holiday
2012,25 December 2012,Tuesday,Christmas Day
2012,26 December 2012,Wednesday,Boxing Day
2013,01 January 2013,Tuesday,New Year's Day
2013,29 March 2013,Friday,Good Friday
2013,01 April 2013,Monday,Easter Monday
2013,06 May 2013,Monday,Early May Bank Holiday
2013,27 May 2013,Monday,Spring Bank Holiday
2013,26 August 2013,Monday,Summer Bank Holiday
2013,25 December 2013,Wednesday,Christmas Day
2013,26 December 2013,Thursday,Boxing Day
2014,01 January 2014,Wednesday,New Year's Day
2014,18 April 2014,Friday,Good Friday
2014,21 April 2014,Monday,Easter Monday
2014,05 May 2014,Monday,Early May Bank Holiday
2014,26 May 2014,Monday,Spring Bank Holiday
2014,25 August 2014,Monday,Summer Bank Holiday
2014,25 December 2014,Thursday,Christmas Day
2014,26 December 2014,Friday,Boxing Day
2015,01 January 2015,Thursday,New Year's Day
2015,03 April 2015,Friday,Good Friday
2015,06 April 2015,Monday,Easter Monday
2015,04 May 2015,Monday,Early May Bank Holiday
2015,25 May 2015,Monday,Spring Bank Holiday
2015,31 August 2015,Monday,Summer Bank Holiday
2015,25 December 2015,Friday,Christmas Day
2015,28 December 2015,Monday,Boxing Day
2016,01 January 2016,Friday,New Year's Day
2016,25 March 2016,Friday,Good Friday
2016,28 March 2016,Monday,Easter Monday
2016,02 May 2016,Monday,Early May Bank Holiday
2016,30 May 2016,Monday,Spring Bank Holiday
2016,29 August 2016,Monday,Summer Bank Holiday
2016,27 December 2016,Tuesday,Christmas Day
2016,28 December 2016,Wednesday,Boxing Day
2017,02 January 2017,Monday,New Year's Day
2017,14 April 2017,Friday,Good Friday
2017,17 April 2017,Monday,Easter Monday
2017,01 May 2017,Monday,Early May Bank Holiday
2017,29 May 2017,Monday,Spring Bank Holiday
2017,28 August 2017,Monday,Summer Bank Holiday
2017,25 December 2017,Monday,Christmas Day
2017,26 December 2017,Tuesday,Boxing Day
2018,01 January 2018,Monday,New Year's Day
2018,30 March 2018,Friday,Good Friday
2018,02 April 2018,Monday,Easter Monday
2018,07 May 2018,Monday,Early May Bank Holiday
2018,28 May 2018,Monday,Spring Bank Holiday
2018,27 August 2018,Monday,Summer Bank Holiday
2018,25 December 2018,Tuesday,Christmas Day
2018,26 December 2018,Wednesday,Boxing Day
2019,01 January 2019,Tuesday,New Year's Day
2019,19 April 2019,Friday,Good Friday
2019,22 April 2019,Monday,Easter Monday
2019,06 May 2019,Monday,Early May Bank Holiday
2019,27 May 2019,Monday,Spring Bank Holiday
2019,26 August 2019,Monday,Summer Bank Holiday
2019,25 December 2019,Wednesday,Christmas Day
2019,26 December 2019,Thursday,Boxing Day
2020,01 January 2020,Wednesday,New Year's Day
2020,10 April 2020,Friday,Good Friday
2020,13 April 2020,Monday,Easter Monday
2020,08 May 2020,Friday,Early May Bank Holiday
2020,25 May 2020,Monday,Spring Bank Holiday
2020,31 August 2020,Monday,Summer Bank Holiday
2020,25 December 2020,Friday,Christmas Day
2020,28 December 2020,Monday,Boxing Day
2021,01 January 2021,Friday,New Year's Day
2021,02 April 2021,Friday,Good Friday
2021,05 April 2021,Monday,Easter Monday
2021,03 May 2021,Monday,Early May Bank Holiday
2021,31 May 2021,Monday,Spring Bank Holiday
2021,30 August 2021,Monday,Summer Bank Holiday
2021,27 December 2021,Monday,Christmas Day
2021,28 December 2021,Tuesday,Boxing Day
2022,03 January 2022,Monday,New Year's Day
2022,15 April 2022,Friday,Good Friday
2022,18 April 2022,Monday,Easter Monday
2022,02 May 2022,Monday,Early May Bank Holiday
2022,02 June 2022,Thursday,Spring Bank Holiday
2022,03 June 2022,Friday,Platinum Jubilee
2022,29 August 2022,Monday,Summer Bank Holiday
2022,19 September 2022,Monday,State Funeral of Queen Elizabeth II
2022,27 December 2022,Tuesday,Christmas Day
2022,28 December 2022,Wednesday,Boxing Day
2023,02 January 2023,Monday,New Year's Day
2023,07 April 2023,Friday,Good Friday
2023,10 April 2023,Monday,Easter Monday
2023,01 May 2023,Monday,Early May Bank Holiday
2023,08 May 2023,Monday,Coronation of King Charles III
2023,29 May 2023,Monday,Spring Bank Holiday
2023,28 August 2023,Monday,Summer Bank Holiday
2023,25 December 2023,Monday,Christmas Day
2023,26 December 2023,Tuesday,Boxing Day
2024,01 January 2024,Monday,New Year's Day
2024,29 March 2024,Friday,Good Friday
2024,01 April 2024,Monday,Easter Monday
2024,06 May 2024,Monday,Early May Bank Holiday
2024,27 May 2024,Monday,Spring Bank Holiday
2024,26 August 2024,Monday,Summer Bank Holiday
2024,25 December 2024,Wednesday,Christmas Day
2024,26 December 2024,Thursday,Boxing Day
2025,01 January 2025,Wednesday,New Year's Day
2025,18 April 2025,Friday,Good Friday
2025,21 April 2025,Monday,Easter Monday
2025,05 May 2025,Monday,Early May Bank Holiday
2025,26 May 2025,Monday,Spring Bank Holiday
2025,25 August 2025,Monday,Summer Bank Holiday
2025,25 December 2025,Thursday,Christmas Day
2025,26 December 2025,Friday,Boxing Day
2026,01 January 2026,Thursday,New Year's Day
2026,03 April 2026,Friday,Good Friday
2026,06 April 2026,Monday,Easter Monday
2026,04 May 2026,Monday,Early May Bank Holiday
2026,25 May 2026,Monday,Spring Bank Holiday
2026,31 August 2026,Monday,Summer Bank Holiday
2026,25 December 2026,Friday,Christmas Day
2026,28 December 2026,Monday,Boxing Day
